Pasture,Patch,Year,NestID,Species,SpeciesNum,MeasureDate,TimeMeasured,NestlingAge_days,NestlingMass_g,Tarsus1,Tarsus2,Tarsus3,Mean Tarsus,Resid_MassVsTarsus_2014to2016,Resid_MassVsTarsus_2014to2015,AnyUnweighed,NestlingComments_D1
RNR,E,2014,RNR DICK 51 14,DICK,,7/24/2014,6,7,14.3,,,,20.16,-0.666360232,-0.769882863,N,
RNR,W,2014,RNR DICK 17 14,DICK,,6/27/2014,12.17,5,9.7,,,,14.96,0.437943459,0.394825241,N,
RNR,W,2014,RNR DICK 17 14,DICK,,6/27/2014,12.17,5,11.9,,,,17.79,-0.466514127,-0.542506285,N,
RNR,W,2014,RNR DICK 17 14,DICK,,6/27/2014,12.17,5,12.1,,,,17.63,-0.09099709,-0.165130651,N,
RNR,W,2014,RNR DICK 17 14,DICK,,6/27/2014,12.17,5,12.6,,,,17.81,0.211546243,0.135321761,N,
RNR,E,2014,RNR DICK 2 14,DICK,,6/7/2014,7.17,6,12.8,,,,18.64,-0.498948384,-0.58481434,N,
RNR,E,2014,RNR DICK 2 14,DICK,,6/7/2014,7.17,6,13.8,,,,19.04,0.062259024,-0.028253425,N,
RNR,E,2014,RNR DICK 2 14,DICK,,6/7/2014,7.17,6,13.8,,,,19.8,-0.7714469,-0.870787686,N,
RNR,E,2014,RNR DICK 2 14,DICK,,6/7/2014,7.17,6,14.2,,,,19.11,0.385470321,0.294144735,N,
RNR,E,2014,RNR DICK 36 14,DICK,,7/5/2014,14,6,10.6,,,,18.48,-2.523431348,-2.607438706,N,
RNR,E,2014,RNR DICK 36 14,DICK,,7/5/2014,14,6,15.2,,,,19.36,1.111224951,1.016995307,N,Close to day 7
RNR,E,2014,RNR DICK 36 14,DICK,,7/5/2014,14,6,16.3,,,,20.74,0.69739051,0.587130464,N,Close to day 7
RNR,E,2014,RNR DICK 36 14,DICK,,7/5/2014,14,6,16.9,,,,21.2,0.792779029,0.677175516,N,Close to day 7
RNR,E,2014,RNR DICK 36 14,DICK,,7/5/2014,14,6,18.3,,,,21.15,2.247628103,2.132605402,N,Close to day 7
RNR,E,2014,RNR DICK 9 14,DICK,,6/11/2014,12.67,6,12.5,,,,17.31,0.660036983,0.589620617,N,
RNR,E,2014,RNR DICK 3 14,DICK,,6/14/2014,17.58,6,13.5,,,,17.04,1.956221982,1.888942,N,
RNR,E,2014,RNR DICK 3 14,DICK,,6/14/2014,17.58,6,17.3,,,,19.57,2.98085884,2.884189788,N,
RNR,E,2014,RNR DICK 3 14,DICK,,6/14/2014,17.58,6,18.4,,,,21.73,1.711378846,1.589618729,N,
RNR,E,2014,RNR DICK 35 14,DICK,,7/15/2014,13,6,14.3,,,,18.74,0.891353468,0.804325889,N,
RNR,E,2014,RNR DICK 35 14,DICK,,7/15/2014,13,6,14.5,,,,19.6,0.147949396,0.050931856,N,
RNR,E,2014,RNR DICK 35 14,DICK,,7/15/2014,13,6,14.7,,,,18.99,1.017108098,0.927176461,N,
RNR,E,2014,RNR DICK 31 14,DICK,,7/9/2014,10.93,6,12.1,,,,17.18,0.402644575,0.33373832,N,7.8 (dwt)
RNR,E,2014,RNR DICK 31 14,DICK,,7/9/2014,10.93,6,14.3,,,,19.41,0.156375877,0.061565421,N,9.2 (dwt)
RNR,E,2014,RNR DICK 31 14,DICK,,7/9/2014,10.93,6,14.8,,,,20.56,-0.605152824,-0.713321948,N,9.5 (dwt)
RNR,C,2014,RNR DICK 13 14,DICK,,6/22/2014,5.92,5,11,,,,17.63,-1.19099709,-1.265130651,N,
RNR,C,2014,RNR DICK 7 14,DICK,,6/20/2014,5.75,6,10.6,,,,16.26,-0.088132464,-0.146351785,N,
RNR,C,2014,RNR DICK 7 14,DICK,,6/20/2014,5.75,6,11.4,,,,18.2,-1.416276533,-1.497031347,N,
RNR,C,2014,RNR DICK 7 14,DICK,,6/20/2014,5.75,6,12.3,,,,17.86,-0.143302831,-0.220108124,N,
RNR,C,2014,RNR DICK 7 14,DICK,,6/20/2014,5.75,6,13,,,,18.4,-0.035672829,-0.118750889,N,
RNR,C,2014,RNR DICK 16 14,DICK,,6/27/2014,9.27,5,9.6,,,,16.2,-1.022313575,-1.079835922,N,
RNR,C,2014,RNR DICK 16 14,DICK,,6/27/2014,9.27,5,10.3,,,,17.34,-1.572872462,-1.643637314,N,
