ele,time,geoidheigh,name,type,Patch,Latitude,Longitude,Year,Pasture
355.407226999999978,2021/05/29 13:29:16.000,,RIE DICK 1 21,user,RIE_N,4494121.42400000,404157.79410000,"2021",RIE
354.326233000000002,2021/06/27 16:20:51.000,,RIE DICK 10,user,RIE_E,4493846.37800000,404238.21590000,"2021",RIE
354.575348000000020,2021/06/21 12:35:49.000,,RIE DICK 11 21,user,RIE_E,4493884.18800000,404242.59650000,"2021",RIE
329.215087999999980,2021/06/21 12:56:22.000,,RIE DICK 12 21,user,RIE_W,4493720.06900000,404054.53770000,"2021",RIE
345.703796000000011,2021/06/21 13:25:12.000,,RIE DICK 13 21,user,RIE_W,4493845.69700000,404170.32970000,"2021",RIE
352.920837000000006,2021/06/22 11:26:37.000,,RIE DICK 14 21,user,RIE_E,4493862.00300000,404232.40790000,"2021",RIE
349.435425000000009,2021/06/27 16:37:27.000,,RIE DICK 15 21,user,RIE_W,4493736.97100000,404190.34910000,"2021",RIE
354.787079000000006,2021/05/30 12:45:33.000,,RIE DICK 2 21,user,RIE_W,4493918.26800000,404207.65610000,"2021",RIE
350.273284999999987,2021/05/30 13:37:02.000,,RIE DICK 3 21,user,RIE_W,4493763.30400000,404197.79620000,"2021",RIE
346.136687999999992,2021/05/30 14:00:19.000,,RIE DICK 4 21,user,RIE_E,4493805.88000000,404270.79010000,"2021",RIE
355.484253000000024,2021/05/31 14:22:19.000,,RIE DICK 5 21,user,RIE_W,4493932.88200000,404193.62730000,"2021",RIE
357.913025000000005,2021/06/03 16:14:37.000,,RIE DICK 6 21,user,RIE_W,4494062.40400000,404084.93140000,"2021",RIE
3396.732422000000042,2021/06/06 15:09:28.000,,RIE DICK 7 21,user,RIE_W,4493934.15500000,404146.75150000,"2021",RIE
350.077208999999982,2021/06/09 11:33:09.000,,RIE DICK 8 21,user,RIE_W,4493902.63100000,404146.43110000,"2021",RIE
347.463745000000017,2021/06/11 13:55:37.000,,RIE DICK 9 21,user,RIE_E,4494224.02000000,404329.47990000,"2021",RIE
3396.732422000000042,2021/06/06 15:09:28.000,,RIE DICK7 21,user,RIE_W,4493934.15500000,404146.75150000,"2021",RIE
355.784697999999992,2021/06/21 11:35:09.000,,RIE EAKI 1 21,user,RIE_W,4493733.59700000,404184.97080000,"2021",RIE
337.929504000000009,2021/05/30 14:32:52.000,,RIE FISP 1 21,user,RIE_W,4493685.36500000,404205.93160000,"2021",RIE
353.802489999999977,2021/06/15 14:29:33.000,,RIE GRCA 1 21,user,RIE_N,4494257.63000000,404184.85710000,"2021",RIE
355.425933999999984,2021/06/21 13:26:37.000,,RIE GRCA 3 21,user,RIE_W,4494089.51000000,404109.65520000,"2021",RIE
351.377349999999979,2021/05/29 14:09:54.000,,RIE GRSP 1 21,user,RIE_W,4494015.70400000,404073.57560000,"2021",RIE
348.892882999999983,2021/06/21 13:11:29.000,,RIE GRSP 2 21,user,RIE_E,4493780.54600000,404229.75760000,"2021",RIE
341.290924000000018,2021/06/07 14:44:04.000,,RIE RBGR 1 21,user,RIE_N,4494330.25900000,404217.69180000,"2021",RIE
353.443358999999987,2021/06/01 12:54:29.000,,RIE RWBL 1 212,user,RIE_N,4494267.08000000,404313.36240000,"2021",RIE
355.554625999999985,2021/05/31 14:23:37.000,,RIE RWBL 11 21,user,RIE_W,4493924.56100000,404202.40930000,"2021",RIE
350.867493000000024,2021/06/03 16:54:05.000,,RIE RWBL 12 21,user,RIE_W,4493933.74600000,404169.85180000,"2021",RIE
353.673614999999984,2021/06/07 11:21:56.000,,RIE RWBL 13 21,user,RIE_E,4494212.09000000,404316.38040000,"2021",RIE
345.508513999999991,2021/06/07 12:47:04.000,,RIE RWBL 14 21,user,RIE_W,4493788.25100000,404087.99970000,"2021",RIE
340.403412000000003,2021/06/27 16:55:42.000,,RIE RWBL 15 21,user,RIE_W,4493784.84800000,404084.82730000,"2021",RIE
355.377868999999976,2021/06/07 13:28:10.000,,RIE RWBL 16 21,user,RIE_E,4493912.17700000,404293.48790000,"2021",RIE
347.994476000000020,2021/06/07 14:13:42.000,,RIE RWBL 17 21,user,RIE_W,4493892.59200000,404149.85610000,"2021",RIE
356.260680999999977,2021/06/07 16:41:19.000,,RIE RWBL 18 21,user,RIE_E,4493906.26800000,404234.84260000,"2021",RIE
353.615233999999987,2021/06/12 18:57:12.000,,RIE RWBL 19 21,user,RIE_E,4494146.11800000,404309.35430000,"2021",RIE
